title,brand,n_retailers,n_barcodes,barcodes,retailers
fruit drink Mango,Proviva,4,5,"['7310867578394', '7340073300175', '7350000550399', '7350000550535', '7350000552348']","['Coop', 'Hemköp', 'Willys', 'mat.se']"
fruit drink Mango 1l njie,Njie,2,2,"['7350068295867', '7350068296864']","['ICA', 'MatHem']"
fruit drink Multivitamin,Glocken Gold,2,2,"['4013265000759', '4013265001053']","['Coop', 'MatHem']"
fruit drink blackcurrant,Proviva,4,2,"['7310867008402', '7350000550559']","['Coop', 'Hemköp', 'Willys', 'mat.se']"
fruit drink blueberry,Proviva,4,4,"['7310867008624', '7340073300168', '7350000550573', '7350000552324']","['Coop', 'Hemköp', 'Willys', 'mat.se']"
fruit drink raspberry & pomegranate 1l proviva,Proviva,2,2,"['7310867578912', '7350000550627']","['ICA', 'MatHem']"
fruit drink rose hip,Proviva,4,2,"['7310867008631', '7350000550597']","['Coop', 'Hemköp', 'Willys', 'mat.se']"
fruity king Smoothie mango,Fruity King,2,2,"['4049377017514', '8714862708715']","['Coop', 'Jan Linders']"
fruity king red fruit,Fruity King,2,2,"['4006220014960', '8714862708814']","['Dirk', 'Jan Linders']"
fun light orange flavored beverage concentrate 1.0l,Fun Light,3,2,"['6417802360210', '7310090360209']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
fun light strawberry flavored beverage concentrate 1.0l,Fun,2,2,"['6417802363211', '7310090363200']","['K Ruoka', 'S-kaupat']"
fun light wild berry flavored beverage concentrate 0.5l,Fun,3,2,"['6417802367196', '7310090367185']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
fun light wild berry flavored beverage concentrate 1.0l,Fun,3,2,"['6417802367219', '7310090367208']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
gasteiner Lemon,Gasteiner,2,2,"['2020002541590', '9005199429008']","['Billa', 'Spar']"
ginger shot,Rynkeby,3,2,"['5705001432052', '5705010078791']","['Fotex', 'Nemlig', 'Osuma']"
green tea infused mint scent,May Tea,2,2,"['3124480185129', '3124480190512']","['Auchan', 'Intermarche']"
hakuma Focus Mango,Hakuma,2,2,"['2020003627941', '9120075270762']","['Billa', 'Spar']"
high forest iced coffee 250ml,Hochwald,2,2,"['4003490014546', '4003490099376']","['Edeka', 'Rewe']"
hit aerosol campagne beer,Raak,3,2,"['8722200963290', '87222463']","['Albert Heijn', 'Coop', 'Dirk']"
imsdal spring water still water Pet,Imsdal,2,2,"['7044610014937', '7044610240701']","['Hemköp', 'Willys']"
juice of kiwi and organic apple ékolo,Ekolo,2,2,"['8437010011160', '8437010011719']","['Greenweez', 'Planeta Huerto']"
juice pot Trip sugar free Mansikka-vadelmamehujuoma 2 dl,Mehukatti,2,2,"['6415130103615', '6415131412211']","['Food Market Herkku', 'S-kaupat']"
juice pot Trip sugar free circus juice drink 2 dl,Mehukatti,3,2,"['6415130077039', '6415130103622']","['Food Market Herkku', 'K Ruoka', 'S-kaupat']"
julmust,Nygårda,2,2,"['7310401000220', '7310401001661']","['Coop', 'Mat Smart']"
julmust 33cl apotekarnes,Apotekarnes,2,2,"['7310070002488', '7310070005342']","['ICA', 'MatHem']"
julmust Pet,Nygårda,2,2,"['7310401000220', '7310401000312']","['Hemköp', 'Willys']"
julmust soda Pet,Apotekarnes,2,5,"['7310070000057', '7310070059208', '7310070151209', '7310072000017', '7310072720250']","['Hemköp', 'Willys']"
julmust soda Pet,Nygårda,2,2,"['7310401001661', '7310403001669']","['Hemköp', 'Willys']"
julmust sugar free,Apotekarnes,2,4,"['7310070003751', '7310070005335', '7310070151308', '7310070733856']","['Coop', 'Mat Smart']"
julmust sugar free soda Pet,Apotekarnes,2,5,"['7310070000828', '7310070151308', '7310070733856', '7310072000116', '7310072000123']","['Hemköp', 'Willys']"
klosterneuburg abbey grape juice st. Laurent,Stift,2,2,"['7444951', '9001530884703']","['Billa', 'Spar']"
kulau Bio- coconut water Pure,Kulau,2,2,"['4260171050457', '4260171050655']","['Shop Apotheke', 'shop-apotheke']"
lemon Juice,Garant,2,2,"['7340083444616', '7340083444623']","['Hemköp', 'Willys']"
lemon carbonated water Pet,Premier,2,5,"['7611612510189', '7611612513807', '7611612516044', '7611612520102', '7611612520157']","['Hemköp', 'Willys']"
lemonade,Brämhults,3,2,"['7313619000402', '7313619001362']","['Coop', 'Hemköp', 'Willys']"
lemonade 850ml brämhults,Brämhults,2,2,"['7313619000402', '7313619001362']","['ICA', 'MatHem']"
lingonberry drink,Jokk,3,3,"['7310861008804', '7310861008934', '7350126085386']","['Coop', 'Hemköp', 'Willys']"
mezzo mix,Mezzo Mix,4,2,"['5000112580501', '5449000017956']","['Allyouneedfresh.de', 'Billa', 'Mytime.de', 'amazon']"
mineral water courmayeur,Courmayeur,3,2,"['8024884117809', '8024884500403']","['Carrefour', 'Leclerc Drive', 'OOShop']"
mineral water mont roucous,Mont Roucous,2,2,"['3257971080112', '3257971080617']","['Leclerc Drive', 'OOShop']"
natural carbonated water Pet,Premier,2,5,"['7611612510172', '7611612513883', '7611612513920', '7611612520058', '7611612520164']","['Hemköp', 'Willys']"
natural mineral water,Courmayeur,3,3,"['8024884217806', '8024884500403', '8024884501400']","['Chronodrive', 'Intermarche', 'Supermarche Match']"
natural mineral water,Hépar,5,4,"['3179732370761', '7613035024021', '7613035024038', '7613035974692']","['Casino', 'Chronodrive', 'Intermarche', 'Monoprix', 'Supermarche Match']"
natural mineral water,Mont Roucous,4,3,"['3257971080617', '3257971091316', '3257971309114']","['Casino', 'Chronodrive', 'Intermarche', 'Supermarche Match']"
natural mineral water,Wattwiller,2,2,"['3448781102006', '3448781302000']","['Intermarche', 'Supermarche Match']"
natural mineral water courmayeur,Courmayeur,2,3,"['8024884217806', '8024884220707', '8024884501400']","['Carrefour', 'OOShop']"
natural mineral water hepar,Hépar,3,4,"['3179732370761', '7613035024038', '7613035974685', '7613035974692']","['Carrefour', 'Leclerc Drive', 'OOShop']"
natural mineral water ogeu,Ogeu,2,2,"['3119070064090', '3119070064106']","['Carrefour', 'OOShop']"
natural mineral water wattwiller,Wattwiller,2,3,"['3448781102006', '3448781300006', '3448781302000']","['Carrefour', 'OOShop']"
natural still water Pet,Premier,2,3,"['7611612514088', '7611612520010', '7611612520119']","['Hemköp', 'Willys']"
orange Mango with no added sugar fruit drink,Proviva,3,2,"['7340073300243', '7350000551372']","['Hemköp', 'Willys', 'mat.se']"
"orange Zero soda, can",Zingo,2,2,"['7310070006776', '7310072000765']","['Hemköp', 'Willys']"
orange carrot ginger Chili Juice,Brämhults,2,2,"['7313619000136', '7313619001263']","['Hemköp', 'Willys']"
orange freshly squeezed juice,Brämhults,3,4,"['7313619000006', '7313619000020', '7313619000044', '7313619001539']","['Hemköp', 'Willys', 'mat.se']"
orange juice,Bravo,3,2,"['7310867561006', '7310867561402']","['Coop', 'Hemköp', 'Willys']"
orange juice,God Morgon,2,2,"['7310860007372', '7310865074768']","['Coop', 'mat.se']"
orange juice,Kiviks Musteri,5,2,"['7314720710259', '7314720710501']","['Coop', 'Hemköp', 'Mat Smart', 'Willys', 'mat.se']"
orange juice,Rynkeby,3,3,"['5705010071280', '5705010078906', '5705010079033']","['Coop.dk MAD', 'Nemlig', 'Osuma']"
orange juice freshly pressed,Brämhults,2,3,"['7313619001324', '7313619001522', '7313619001539']","['Hemköp', 'Willys']"
orange juice organic,God Morgon,3,3,"['5705001111520', '5705010069508', '7313619001867']","['Coop', 'Hemköp', 'Willys']"
orange juice with pulp,Garant,2,2,"['7340083489457', '7340083489884']","['Hemköp', 'Willys']"
orange juice without pulp,Garant,2,2,"['7340083456695', '7340083489853']","['Hemköp', 'Willys']"
orange soda Pet,Zingo,2,2,"['7310070004482', '7310070378507']","['Hemköp', 'Willys']"
orange with no added sugar fruit drink,Proviva,3,2,"['7350000550221', '7350000552300']","['Hemköp', 'Willys', 'mat.se']"
pack of 2 - FRUIT pomegranate syrup organic 70cl bottle,Fruiss,3,2,"['3345252899857', '3346097625496']","['Cdiscount', 'Rakuten', 'amazon']"
peach orange carbonated water Pet,Ramlösa,2,2,"['7310070003492', '7310070003508']","['Hemköp', 'Willys']"
pear carbonated water Pet,Premier,2,2,"['7611612513968', '7611612520096']","['Hemköp', 'Willys']"
pear carbonated water Pet,Ramlösa,2,3,"['7310070004444', '7310070004468', '7310074008097']","['Hemköp', 'Willys']"
pear drink,Kiviks Musteri,2,2,"['7314720738307', '7314720738338']","['Coop', 'Willys']"
pear fruit drink,Kiviks Musteri,3,2,"['7314720738307', '7314720738338']","['Hemköp', 'Willys', 'mat.se']"
pear fruit drink Tetra,Mer,2,2,"['5449000224804', '54490475']","['Hemköp', 'Willys']"
pineapple carbonated water Pet,Ramlösa,2,2,"['7310070005021', '7310070005472']","['Hemköp', 'Willys']"
pomegranate carbonated water Pet,Ramlösa,2,4,"['7310070001900', '7310070003249', '7310074002521', '73145738']","['Hemköp', 'Willys']"
pomegranate syrup mill of valdonne,Moulin de Valdonne,2,4,"['3272030002232', '3272036006937', '3272036007835', '3272036008481']","['Carrefour', 'OOShop']"
pure juice organic lime,Jardin Bio,2,2,"['3456300002430', '3478820088879']","['Intermarche', 'Supermarche Match']"
raspberry,Brämhults,2,2,"['7313619000303', '7313619001218']","['Coop', 'mat.se']"
raspberry / apple carbonated water Pet,Ramlösa,2,2,"['7310070005953', '7310070005977']","['Hemköp', 'Willys']"
raw juice orange,Loviseberg Råsaft,4,2,"['7350068170010', '7350068177019']","['Coop', 'Hemköp', 'MatHem', 'Willys']"
raw juice red love,Loviseberg Råsaft,2,2,"['7350068170133', '7350068177132']","['Hemköp', 'Willys']"
recoaro slightly sparkling 1.5 l,Recoaro,2,2,"['8058649330134', '8058649330233']","['Carrefour', 'Coop']"
refinery coconut water 310ml,Puhdistamo,2,2,"['6430039221369', '6430039222458']","['K Ruoka', 'kauppahalli24.fi']"
rivella Cranberry,Rivella,3,5,"['8715600235654', '8715600242577', '8715600242706', '8715600243291', '8715600243314']","['Albert Heijn', 'Coop', 'Dirk']"
rivella Original,Rivella,2,4,"['8715600243413', '8715600243444', '8715600245868', '8715600247374']","['Albert Heijn', 'Dirk']"
robby Bubble Apple- Cherry 0.75l,Robby Bubble,2,2,"['4001681014337', '4001681980564']","['Edeka', 'Rewe']"
rocchetta natural gualdo tadino 6 x 1.5 l,Rocchetta,2,2,"['8009245002000', '8009245770800']","['Carrefour', 'Coop']"
roman spring Emotion apricot elderflower,Römerquelle,2,3,"['2020003787690', '2020003788130', '2020005429079']","['Billa', 'Spar']"
roman spring Emotion pear balm,Römerquelle,2,3,"['2020003787676', '2020005429024', '4316183']","['Billa', 'Spar']"
roosvicee multivit forest fruits,Roosvicee,4,3,"['8710395945634', '8710395948406', '8710395949229']","['Albert Heijn', 'Coop', 'Dirk', 'Jan Linders']"
roosvicee multivit peach,Roosvicee,4,2,"['8710395945672', '8710395949182']","['Albert Heijn', 'Coop', 'Dirk', 'Jan Linders']"
roosvicee multivit strawberry orange,Roosvicee,2,2,"['8710395945696', '8710395949175']","['Coop', 'Dirk']"
rose vicee 50 / 50 fruit mix,Roosvicee,2,2,"['8710395946648', '8710395948802']","['Albert Heijn', 'Coop']"
rose vicee 50 / 50 red fruit,Roosvicee,2,2,"['8710395946662', '8710395948857']","['Albert Heijn', 'Coop']"
smarty lemonade syrup lemon 0% sugar,Slimpie,2,2,"['8719214810436', '8719214811198']","['Coop', 'Jan Linders']"
sourcing vitamin water citroen-cactus,Sourcy,2,2,"['8715600243888', '8715600243901']","['Albert Heijn', 'Dirk']"
sourcing vitamin water mango guava,Sourcy,2,2,"['8715600231090', '8715600249392']","['Albert Heijn', 'Coop']"
sourcing vitamin water raspberry pomegranate,Sourcy,3,2,"['8715600231113', '8715600249293']","['Albert Heijn', 'Coop', 'Spar']"
sparkling natural mineral water,Quézac,2,2,"['3664320911513', '7613032733025']","['Chronodrive', 'Intermarche']"
sparkling natural mineral water,Vichy Célestins,3,3,"['3108020730239', '3108020983017', '3108022065506']","['Auchan', 'Intermarche', 'Supermarche Match']"
spring water of mountain d' auvergne,Mont,2,2,"['3375830000016', '3375830000061']","['Auchan', 'Intermarche']"
strawberries berry drink,Kiviks Musteri,3,2,"['7314720736204', '7314720736235']","['Hemköp', 'Willys', 'mat.se']"
strawberries carbonated water Pet,Premier,2,3,"['7611612516365', '7611612516389', '7611612516402']","['Hemköp', 'Willys']"
strawberries carbonated water Pet,Ramlösa,2,2,"['7310070001764', '7310070001924']","['Hemköp', 'Willys']"
strawberry / rabar carbonated water Pet,Premier,2,3,"['7611612516136', '7611612516143', '7611612516228']","['Hemköp', 'Willys']"
strawberry banana Smoothie,Garant,2,3,"['7340083463259', '7340083480164', '7340083489891']","['Hemköp', 'Willys']"
strawberry drink,Kiviks Musteri,2,2,"['7314720736204', '7314720736235']","['Coop', 'Willys']"
strawberry mixed juice juice Pet,BOB,2,2,"['7310090348061', '7310090348139']","['Hemköp', 'Willys']"
strawberry sugar free soda Pet,Zingo,2,2,"['7310070004499', '7310070004512']","['Hemköp', 'Willys']"
syrup peach & apricot mill of valdonne,Moulin de Valdonne,2,2,"['3272030018233', '3272036008511']","['Carrefour', 'OOShop']"
tax exotic fruits,Taksi,4,2,"['8713300069906', '8713300069920']","['Albert Heijn', 'Coop', 'Dirk', 'Jan Linders']"
tax syrup tropical fruits,Taksi,3,2,"['8720157402466', '8720157466932']","['Coop', 'Dirk', 'Plus']"
tax tropical fruits,Taksi,5,5,"['8713300042855', '8713300069463', '8720157400011', '8720157462910', '8720157464891']","['Albert Heijn', 'Coop', 'Dirk', 'Jan Linders', 'Plus']"
trocadero,Trocadero,3,5,"['7310401000374', '7310401007151', '7310401009933', '7310401024844', '7310401046723']","['Coop', 'Mat Smart', 'MatHem']"
trocadero Zero,Trocadero,3,6,"['7310401034560', '7310401034577', '7310401034584', '7310401046754', '7310401049199', '7310403036401']","['Coop', 'Mat Smart', 'Willys']"
trocadero Zero Sugar soda Pet,Trocadero,2,2,"['7310401034577', '7310401034584']","['Hemköp', 'Willys']"
trocadero Zero soda Pet,Trocadero,2,2,"['7310401049199', '7310402044735']","['Hemköp', 'Willys']"
trocadero Zero soda can,Trocadero,2,3,"['7310401046754', '7310402046777', '7310403036401']","['Hemköp', 'Willys']"
"trocadero jelly hallon Zero soda, Pet",Trocadero,2,2,"['7310401052458', '7310401052465']","['Hemköp', 'Willys']"
trocadero soda Pet,Trocadero,2,4,"['7310401000374', '7310401009933', '7310401024844', '7310402044728']","['Hemköp', 'Willys']"
trocadero soda can,Trocadero,2,4,"['7310401007151', '7310401046723', '7310402046746', '7310403034551']","['Hemköp', 'Willys']"
trochumust Zero soda Pet,Trocadero,2,2,"['7310401048628', '7310401048635']","['Hemköp', 'Willys']"
trochumust soda Pet,Trocadero,2,2,"['7310401048598', '7310401048604']","['Hemköp', 'Willys']"
tropical Juice,Bravo,3,2,"['7310867561020', '7310867561426']","['Coop', 'Hemköp', 'Willys']"
tropical Juice without pulp,Garant,2,3,"['7340083456718', '7340083456909', '7340083489846']","['Hemköp', 'Willys']"
tropical Multivitamin fruit drink,Kiviks Musteri,3,2,"['7314720720111', '7314720730127']","['Hemköp', 'Willys', 'mat.se']"
vital house cranberry juice pure organic,Vitalhaus,2,2,"['4041685002893', '4041685002909']","['Shop Apotheke', 'shop-apotheke']"
vital house cranberry- pure juice BIO,Vitalhaus,2,2,"['4041685003029', '4041685003449']","['Shop Apotheke', 'shop-apotheke']"
vital house pomegranate pure juice Bio,Vitalhaus,2,2,"['4041685003142', '4041685003432']","['Shop Apotheke', 'shop-apotheke']"
watermelon carbonated water Pet,Ramlösa,2,2,"['7310070003027', '7310070003034']","['Hemköp', 'Willys']"
wicky orange,Wicky,3,2,"['8711900015118', '8711900016986']","['Albert Heijn', 'Coop', 'Dirk']"
zagori natural mineral water 1lt,Zagori,2,2,"['5201627019924', '5201627020043']","['Bazaar', 'CareMarket']"
zingo strawberry sugar free,Zingo,3,3,"['7310070004475', '7310070004499', '7310070004512']","['Coop', 'Hemköp', 'Willys']"
